   94  194  294  394  493  594  693  794
   70  188  269  388  469  587  669  787
   34  192  234  392  434  591  592  634  791
   38  114  238  314  438  514  638  715
   20  112  221  312  421  512  621  713
   44  196  245  396  445  596  645  796
   66  156  157  266  356  466  556  666  756
   65  155  265  354  465  554  665  754
   48  157  248  357  448  557  648  757
   73  177  273  377  473  577  673  777
   92  186  291  386  491  586  691  786
   24  156  225  355  356  425  555  625  755
   11   12  180  212  379  412  579  612  779
   30  187  230  387  430  587  630  787
   22  159  222  359  422  559  622  759
   64  190  264  390  464  589  663  789
   69  196  269  395  396  469  595  669  795
   29  168  229  368  429  568  630  768
  499  560  699  760
   90  175  289  375  489  574  689  774
   97  136  297  336  496  536  696  736
   45  139  246  339  446  539  646  739
   14  196  214  396  414  595  614  795
   87  175  287  375  487  575  687  775
  199  294  399  494  599  693  798  799
   60  114  260  314  460  514  660  714
   81  157  281  357  481  558  680  758
   90  158  290  358  489  558  689  758
   65  176  265  376  465  576  665  776
   23  176  223  376  423  424  576  624  776
  645  700
   98  111  297  311  497  511  697  712
   60  129  260  329  460  529  660  729
    8  169  208  369  408  569  608  768
   41  170  241  370  441  570  641  770
   41  164  241  364  441  564  642  764
   24  117  224  317  424  517  624  717
   98  106  298  307  497  507  697  708
   74  173  274  373  474  573  673  772
   92  105  292  305  492  505  506  692  706
   30  116  230  317  431  517  631  717
   36  158  236  358  359  436  559  637  759
   14  127  215  327  415  527  615  727
   58  175  257  375  457  574  575  657  774
   79  128  279  328  479  528  679  728
   52  101  252  302  452  502  652  702
   90  178  290  378  490  577  690  777
    1  115  201  316  401  516  601  717
    4  194  204  394  404  405  594  605  793
   40  148  240  347  348  440  547  640  747
   72  111  272  311  472  511  671  711
   49  192  248  391  448  591  648  791
   56  108  256  309  456  509  657  710
   33  179  234  379  434  579  634  779
   39  115  239  315  439  515  639  715
   18  130  219  330  419  531  620  731
   92  107  292  307  492  508  692  708
   24  120  224  320  425  520  625  720
   54  127  254  327  454  527  654  727
   16  130  217  330  417  530  617  618  730
    2  123  202  323  402  523  603  723
   37  174  237  374  436  437  574  636  774
   99  140  299  340  498  540  698  740
   65  186  265  386  465  585  586  665  785
    2  114  202  314  402  514  602  714
   35  150  235  350  436  550  636  750
   92  146  292  346  491  546  691  746
   50  114  250  314  450  514  650  714
   47  177  247  377  447  576  577  647  776
    0  158  200  358  401  558  601  758
   48  122  123  248  323  448  523  648  723
   50  173  250  373  450  573  651  773
    5  111  206  311  406  511  606  711
   85  147  285  347  484  547  684  747
   40  131  240  331  440  532  640  732
